Rank,Team,Record,EM Rating,Predictive Rating,Projected Record,AdjO,AdjD,Pace,RSOS,Playoffs,Conference Finals,Finals,Champion
1,Boston Celtics,7-2,12.75,6.55,57.5-24.5,10.5,6.1,98.74,-0.25,1.0,0.67,0.47,0.34
2,Philadelphia 76ers,8-1,9.17,5.24,55.4-26.6,7.62,3.42,99.17,-0.1,0.99,0.53,0.3,0.21
3,Minnesota Timberwolves,7-2,9.45,5.09,53.2-28.8,-0.74,11.68,99.03,-0.4,0.99,0.47,0.27,0.12
4,Denver Nuggets,8-2,6.09,4.32,53.0-29.0,3.32,4.85,96.88,-0.33,0.99,0.46,0.29,0.12
5,New York Knicks,5-4,5.59,3.4,46.7-35.3,-1.87,8.51,96.67,-0.06,0.88,0.2,0.06,0.03
6,Atlanta Hawks,5-4,3.73,2.99,44.6-37.4,6.7,-2.98,101.49,-0.09,0.74,0.09,0.02,0.01
7,Golden State Warriors,6-5,3.08,2.69,46.7-35.3,3.08,-0.12,98.95,-0.26,0.88,0.23,0.11,0.03
8,Dallas Mavericks,8-2,4.69,2.35,48.7-33.3,8.68,-4.22,101.11,0.01,0.93,0.21,0.08,0.02
9,Milwaukee Bucks,5-4,-1.92,1.13,43.6-38.4,2.67,-4.0,100.98,-0.15,0.71,0.1,0.03,0.01
10,Toronto Raptors,4-5,2.34,1.07,39.7-42.3,-3.15,4.99,97.34,-0.06,0.39,0.02,0.01,0.0
11,Phoenix Suns,4-6,-2.46,1.03,43.7-38.3,-4.52,0.84,98.21,-0.04,0.74,0.17,0.08,0.03
12,Cleveland Cavaliers,4-5,1.01,0.86,44.9-37.1,-3.4,4.09,99.78,-0.28,0.77,0.14,0.05,0.02
13,Oklahoma City Thunder,6-4,2.11,0.85,44.6-37.4,1.25,-0.16,100.65,-0.15,0.79,0.11,0.04,0.02
14,Indiana Pacers,6-4,1.73,0.82,43.1-38.9,7.03,-5.04,102.45,0.11,0.66,0.06,0.02,0.01
15,Los Angeles Clippers,3-6,-1.65,0.43,43.3-38.7,-0.21,-0.87,98.66,0.08,0.72,0.15,0.06,0.02
16,Houston Rockets,6-3,0.95,0.31,42.0-40.0,0.55,2.68,95.76,-0.14,0.61,0.07,0.02,0.0
17,Miami Heat,6-4,-0.37,-0.04,43.7-38.3,-3.61,2.49,98.5,-0.08,0.69,0.06,0.02,0.01
18,Brooklyn Nets,5-5,1.05,-0.07,40.1-41.9,-0.13,1.75,99.0,0.14,0.43,0.04,0.01,0.0
19,Orlando Magic,5-4,1.08,-0.69,42.3-39.7,-7.24,9.63,99.67,0.02,0.58,0.06,0.02,0.01
20,Los Angeles Lakers,5-5,-3.4,-0.9,40.4-41.6,0.18,-5.72,99.35,0.1,0.49,0.05,0.02,0.0
21,New Orleans Pelicans,4-6,-3.93,-1.38,36.6-45.4,-3.1,-1.43,99.95,-0.25,0.21,0.02,0.0,0.0
22,Sacramento Kings,4-4,-2.67,-1.56,40.1-41.9,-3.15,-1.0,98.39,0.2,0.48,0.06,0.02,0.0
23,Memphis Grizzlies,2-8,-7.59,-2.41,32.6-49.4,-8.57,0.11,100.47,0.26,0.08,0.01,0.0,0.0
24,Chicago Bulls,4-6,-4.08,-3.36,34.3-47.7,-0.59,-3.64,95.87,0.26,0.11,0.0,0.0,0.0
25,Utah Jazz,3-7,-7.23,-4.17,31.3-50.7,1.61,-10.3,99.75,0.25,0.06,0.0,0.0,0.0
26,Portland Trail Blazers,3-6,-5.03,-4.45,29.7-52.3,-5.11,-2.19,98.51,0.32,0.02,0.0,0.0,0.0
27,Charlotte Hornets,3-6,-6.25,-4.49,28.6-53.4,0.01,-6.55,101.34,0.42,0.02,0.0,0.0,0.0
28,San Antonio Spurs,3-7,-5.22,-4.73,27.0-55.0,0.14,-9.07,101.01,0.06,0.01,0.0,0.0,0.0
29,Detroit Pistons,2-9,-5.42,-5.0,28.1-53.9,-4.36,-1.78,98.93,0.32,0.01,0.0,0.0,0.0
30,Washington Wizards,2-7,-5.3,-5.88,24.6-57.4,-3.58,-2.07,104.32,0.24,0.0,0.0,0.0,0.0
