team,rating,year
LAC,4.54125186585417,2020
TOR,4.614236561133493,2020
HOU,1.9571787249346748,2020
IND,0.019318199390037722,2020
PHI,-0.09751512468774594,2020
DAL,2.168754418052839,2020
BRK,-2.261791879920283,2020
UTA,2.5639621555190977,2020
SAS,1.2193900307638044,2020
NOP,2.1542008887646804,2020
MEM,1.3786760691373001,2020
MIN,-5.005789646588955,2020
ATL,-5.933188118530262,2020
SAC,-1.858097963769459,2020
MIA,2.5355851937936684,2020
CHI,-5.666749893737048,2020
ORL,-1.4730924341212464,2020
CLE,-6.9464378245004355,2020
POR,-0.8941211442711412,2020
OKC,2.5631680360201172,2020
BOS,4.96280186537993,2020
GSW,-6.7644259830408755,2020
DEN,1.400248886586965,2020
CHO,-5.706620947535816,2020
MIL,5.650250229520399,2020
DET,-6.8353378316824305,2020
NYK,-4.726128839643765,2020
WAS,-5.819803968114193,2020
LAL,4.675165809107933,2020
PHO,-0.7435875949409678,2020
