boxscore_id,date,team_abbr,opponent_abbr,team_name,opponent_name,team_score,opponent_score,margin,location,pace,completed,year
201910240HOU,"Thu, Oct 24, 2019",HOU,MIL,Houston Rockets,Milwaukee Bucks,111,117,-6,Home,109.8,True,2020
201910260HOU,"Sat, Oct 26, 2019",HOU,NOP,Houston Rockets,New Orleans Pelicans,126,123,3,Home,112.6,True,2020
201910280HOU,"Mon, Oct 28, 2019",HOU,OKC,Houston Rockets,Oklahoma City Thunder,116,112,4,Home,101.8,True,2020
201910300WAS,"Wed, Oct 30, 2019",WAS,HOU,Washington Wizards,Houston Rockets,158,159,-1,Home,109.7,True,2020
201911010BRK,"Fri, Nov 1, 2019",BRK,HOU,Brooklyn Nets,Houston Rockets,123,116,7,Home,108.2,True,2020
201911030MIA,"Sun, Nov 3, 2019",MIA,HOU,Miami Heat,Houston Rockets,129,100,29,Home,107.9,True,2020
201911040MEM,"Mon, Nov 4, 2019",MEM,HOU,Memphis Grizzlies,Houston Rockets,100,107,-7,Home,103.6,True,2020
201911060HOU,"Wed, Nov 6, 2019",HOU,GSW,Houston Rockets,Golden State Warriors,129,112,17,Home,101.6,True,2020
201911090CHI,"Sat, Nov 9, 2019",CHI,HOU,Chicago Bulls,Houston Rockets,94,117,-23,Home,107.1,True,2020
201911110NOP,"Mon, Nov 11, 2019",NOP,HOU,New Orleans Pelicans,Houston Rockets,116,122,-6,Home,107.9,True,2020
201911130HOU,"Wed, Nov 13, 2019",HOU,LAC,Houston Rockets,Los Angeles Clippers,102,93,9,Home,100.3,True,2020
201911150HOU,"Fri, Nov 15, 2019",HOU,IND,Houston Rockets,Indiana Pacers,111,102,9,Home,97.5,True,2020
201911160MIN,"Sat, Nov 16, 2019",MIN,HOU,Minnesota Timberwolves,Houston Rockets,105,125,-20,Home,97.1,True,2020
201911180HOU,"Mon, Nov 18, 2019",HOU,POR,Houston Rockets,Portland Trail Blazers,132,108,24,Home,107.7,True,2020
201911200DEN,"Wed, Nov 20, 2019",DEN,HOU,Denver Nuggets,Houston Rockets,105,95,10,Home,96.8,True,2020
201911220LAC,"Fri, Nov 22, 2019",LAC,HOU,Los Angeles Clippers,Houston Rockets,122,119,3,Home,104.0,True,2020
201911240HOU,"Sun, Nov 24, 2019",HOU,DAL,Houston Rockets,Dallas Mavericks,123,137,-14,Home,107.9,True,2020
201911270HOU,"Wed, Nov 27, 2019",HOU,MIA,Houston Rockets,Miami Heat,117,108,9,Home,100.5,True,2020
201911300HOU,"Sat, Nov 30, 2019",HOU,ATL,Houston Rockets,Atlanta Hawks,158,111,47,Home,102.6,True,2020
201912030SAS,"Tue, Dec 3, 2019",SAS,HOU,San Antonio Spurs,Houston Rockets,135,133,2,Home,102.0,True,2020
201912050TOR,"Thu, Dec 5, 2019",TOR,HOU,Toronto Raptors,Houston Rockets,109,119,-10,Home,102.4,True,2020
201912070HOU,"Sat, Dec 7, 2019",HOU,PHO,Houston Rockets,Phoenix Suns,115,109,6,Home,107.3,True,2020
201912090HOU,"Mon, Dec 9, 2019",HOU,SAC,Houston Rockets,Sacramento Kings,118,119,-1,Home,97.8,True,2020
201912110CLE,"Wed, Dec 11, 2019",CLE,HOU,Cleveland Cavaliers,Houston Rockets,110,116,-6,Home,93.3,True,2020
201912130ORL,"Fri, Dec 13, 2019",ORL,HOU,Orlando Magic,Houston Rockets,107,130,-23,Home,89.8,True,2020
201912140HOU,"Sat, Dec 14, 2019",HOU,DET,Houston Rockets,Detroit Pistons,107,115,-8,Home,105.0,True,2020
201912160HOU,"Mon, Dec 16, 2019",HOU,SAS,Houston Rockets,San Antonio Spurs,109,107,2,Home,107.3,True,2020
201912190LAC,"Thu, Dec 19, 2019",LAC,HOU,Los Angeles Clippers,Houston Rockets,117,122,-5,Home,104.0,True,2020
201912210PHO,"Sat, Dec 21, 2019",PHO,HOU,Phoenix Suns,Houston Rockets,125,139,-14,Home,100.3,True,2020
201912230SAC,"Mon, Dec 23, 2019",SAC,HOU,Sacramento Kings,Houston Rockets,104,113,-9,Home,100.5,True,2020
201912250GSW,"Wed, Dec 25, 2019",GSW,HOU,Golden State Warriors,Houston Rockets,116,104,12,Home,102.1,True,2020
201912280HOU,"Sat, Dec 28, 2019",HOU,BRK,Houston Rockets,Brooklyn Nets,108,98,10,Home,103.7,True,2020
201912290NOP,"Sun, Dec 29, 2019",NOP,HOU,New Orleans Pelicans,Houston Rockets,127,112,15,Home,98.6,True,2020
201912310HOU,"Tue, Dec 31, 2019",HOU,DEN,Houston Rockets,Denver Nuggets,130,104,26,Home,99.1,True,2020
202001030HOU,"Fri, Jan 3, 2020",HOU,PHI,Houston Rockets,Philadelphia 76ers,118,108,10,Home,101.2,True,2020
202001080ATL,"Wed, Jan 8, 2020",ATL,HOU,Atlanta Hawks,Houston Rockets,115,122,-7,Home,106.5,True,2020
202001090OKC,"Thu, Jan 9, 2020",OKC,HOU,Oklahoma City Thunder,Houston Rockets,113,92,21,Home,98.4,True,2020
202001110HOU,"Sat, Jan 11, 2020",HOU,MIN,Houston Rockets,Minnesota Timberwolves,139,109,30,Home,112.2,True,2020
202001140MEM,"Tue, Jan 14, 2020",MEM,HOU,Memphis Grizzlies,Houston Rockets,121,110,11,Home,98.4,True,2020
202001150HOU,"Wed, Jan 15, 2020",HOU,POR,Houston Rockets,Portland Trail Blazers,107,117,-10,Home,102.0,True,2020
202001180HOU,"Sat, Jan 18, 2020",HOU,LAL,Houston Rockets,Los Angeles Lakers,115,124,-9,Home,108.0,True,2020
202001200HOU,"Mon, Jan 20, 2020",HOU,OKC,Houston Rockets,Oklahoma City Thunder,107,112,-5,Home,104.5,True,2020
202001220HOU,"Wed, Jan 22, 2020",HOU,DEN,Houston Rockets,Denver Nuggets,121,105,16,Home,97.8,True,2020
202001240MIN,"Fri, Jan 24, 2020",MIN,HOU,Minnesota Timberwolves,Houston Rockets,124,131,-7,Home,107.9,True,2020
202001260DEN,"Sun, Jan 26, 2020",DEN,HOU,Denver Nuggets,Houston Rockets,117,110,7,Home,99.3,True,2020
202001270UTA,"Mon, Jan 27, 2020",UTA,HOU,Utah Jazz,Houston Rockets,117,126,-9,Home,109.5,True,2020
202001290POR,"Wed, Jan 29, 2020",POR,HOU,Portland Trail Blazers,Houston Rockets,125,112,13,Home,105.9,True,2020
