boxscore_id,date,team,opponent,team_name,opponent_name,team_score,opponent_score,margin,location,pace,completed,year
202410220BOS,2024-10-22,BOS,NYK,Boston Celtics,New York Knicks,132.0,109.0,23.0,Home,89.6,True,2025
202410220LAL,2024-10-22,LAL,MIN,Los Angeles Lakers,Minnesota Timberwolves,110.0,103.0,7.0,Home,95.9,True,2025
202410230HOU,2024-10-23,HOU,CHO,Houston Rockets,Charlotte Hornets,105.0,110.0,-5.0,Home,96.6,True,2025
202410230UTA,2024-10-23,UTA,MEM,Utah Jazz,Memphis Grizzlies,124.0,126.0,-2.0,Home,103.4,True,2025
202410230POR,2024-10-23,POR,GSW,Portland Trail Blazers,Golden State Warriors,104.0,139.0,-35.0,Home,107.2,True,2025
202410230DET,2024-10-23,DET,IND,Detroit Pistons,Indiana Pacers,109.0,115.0,-6.0,Home,98.7,True,2025
202410230LAC,2024-10-23,LAC,PHO,Los Angeles Clippers,Phoenix Suns,113.0,116.0,-3.0,Home,100.5,True,2025
202410230NOP,2024-10-23,NOP,CHI,New Orleans Pelicans,Chicago Bulls,123.0,111.0,12.0,Home,108.1,True,2025
202410230PHI,2024-10-23,PHI,MIL,Philadelphia 76ers,Milwaukee Bucks,109.0,124.0,-15.0,Home,99.2,True,2025
202410230TOR,2024-10-23,TOR,CLE,Toronto Raptors,Cleveland Cavaliers,106.0,136.0,-30.0,Home,99.8,True,2025
202410230MIA,2024-10-23,MIA,ORL,Miami Heat,Orlando Magic,97.0,116.0,-19.0,Home,96.1,True,2025
202410230ATL,2024-10-23,ATL,BRK,Atlanta Hawks,Brooklyn Nets,120.0,116.0,4.0,Home,103.8,True,2025
202410240DAL,2024-10-24,DAL,SAS,Dallas Mavericks,San Antonio Spurs,120.0,109.0,11.0,Home,101.6,True,2025
202410240DEN,2024-10-24,DEN,OKC,Denver Nuggets,Oklahoma City Thunder,87.0,102.0,-15.0,Home,100.3,True,2025
202410240WAS,2024-10-24,WAS,BOS,Washington Wizards,Boston Celtics,102.0,122.0,-20.0,Home,102.5,True,2025
202410240SAC,2024-10-24,SAC,MIN,Sacramento Kings,Minnesota Timberwolves,115.0,117.0,-2.0,Home,101.4,True,2025
202410250HOU,2024-10-25,HOU,MEM,Houston Rockets,Memphis Grizzlies,128.0,108.0,20.0,Home,107.7,True,2025
202410250ATL,2024-10-25,ATL,CHO,Atlanta Hawks,Charlotte Hornets,125.0,120.0,5.0,Home,101.3,True,2025
202410250UTA,2024-10-25,UTA,GSW,Utah Jazz,Golden State Warriors,86.0,127.0,-41.0,Home,104.1,True,2025
202410250NYK,2024-10-25,NYK,IND,New York Knicks,Indiana Pacers,123.0,98.0,25.0,Home,95.6,True,2025
202410250CLE,2024-10-25,CLE,DET,Cleveland Cavaliers,Detroit Pistons,113.0,101.0,12.0,Home,99.9,True,2025
202410250MIL,2024-10-25,MIL,CHI,Milwaukee Bucks,Chicago Bulls,122.0,133.0,-11.0,Home,107.1,True,2025
202410250POR,2024-10-25,POR,NOP,Portland Trail Blazers,New Orleans Pelicans,103.0,105.0,-2.0,Home,102.6,True,2025
202410250TOR,2024-10-25,TOR,PHI,Toronto Raptors,Philadelphia 76ers,115.0,107.0,8.0,Home,100.9,True,2025
202410250LAL,2024-10-25,LAL,PHO,Los Angeles Lakers,Phoenix Suns,123.0,116.0,7.0,Home,98.5,True,2025
202410250ORL,2024-10-25,ORL,BRK,Orlando Magic,Brooklyn Nets,116.0,101.0,15.0,Home,98.1,True,2025
202410260SAS,2024-10-26,SAS,HOU,San Antonio Spurs,Houston Rockets,109.0,106.0,3.0,Home,98.4,True,2025
202410260CHO,2024-10-26,CHO,MIA,Charlotte Hornets,Miami Heat,106.0,114.0,-8.0,Home,98.1,True,2025
202410260MEM,2024-10-26,MEM,ORL,Memphis Grizzlies,Orlando Magic,124.0,111.0,13.0,Home,105.0,True,2025
202410260PHO,2024-10-26,PHO,DAL,Phoenix Suns,Dallas Mavericks,114.0,102.0,12.0,Home,96.6,True,2025
202410260CHI,2024-10-26,CHI,OKC,Chicago Bulls,Oklahoma City Thunder,95.0,114.0,-19.0,Home,114.5,True,2025
202410260DET,2024-10-26,DET,BOS,Detroit Pistons,Boston Celtics,118.0,124.0,-6.0,Home,97.8,True,2025
202410260WAS,2024-10-26,WAS,CLE,Washington Wizards,Cleveland Cavaliers,116.0,135.0,-19.0,Home,104.7,True,2025
202410260DEN,2024-10-26,DEN,LAC,Denver Nuggets,Los Angeles Clippers,104.0,109.0,-5.0,Home,94.0,True,2025
202410260MIN,2024-10-26,MIN,TOR,Minnesota Timberwolves,Toronto Raptors,112.0,101.0,11.0,Home,98.7,True,2025
202410260LAL,2024-10-26,LAL,SAC,Los Angeles Lakers,Sacramento Kings,131.0,127.0,4.0,Home,105.5,True,2025
202410270GSW,2024-10-27,GSW,LAC,Golden State Warriors,Los Angeles Clippers,104.0,112.0,-8.0,Home,102.0,True,2025
202410270OKC,2024-10-27,OKC,ATL,Oklahoma City Thunder,Atlanta Hawks,128.0,104.0,24.0,Home,101.2,True,2025
202410270BRK,2024-10-27,BRK,MIL,Brooklyn Nets,Milwaukee Bucks,115.0,102.0,13.0,Home,97.7,True,2025
