Date,Home,Away,Predicted Home Margin
2024-12-03,TOR,IND,1.3
2024-12-03,PHO,SAS,2.7
2024-12-03,DEN,GSW,2.6
2024-12-03,LAC,POR,6.9
2024-12-03,NYK,ORL,3.9
2024-12-03,DET,MIL,-2.6
2024-12-03,DAL,MEM,6.0
2024-12-03,CHO,PHI,-1.3
2024-12-03,SAC,HOU,-0.8
2024-12-03,CLE,WAS,14.4
2024-12-03,OKC,UTA,15.0
2024-12-04,MIA,LAL,3.5
2024-12-04,PHI,ORL,-0.9
2024-12-04,LAC,MIN,1.2
2024-12-04,BRK,IND,0.3
2024-12-04,BOS,DET,12.9
2024-12-04,MIL,ATL,4.5
2024-12-05,TOR,OKC,-8.6
2024-12-05,WAS,DAL,-6.7
2024-12-05,CLE,DEN,4.3
2024-12-05,GSW,HOU,3.7
2024-12-05,MEM,SAC,5.4
2024-12-05,SAS,CHI,4.0
2024-12-05,NYK,CHO,9.9
2024-12-05,NOP,PHO,-5.8
2024-12-06,BOS,MIL,8.7
2024-12-06,ATL,LAL,-1.3
2024-12-06,CHI,IND,0.9
2024-12-06,PHI,ORL,-2.2
2024-12-06,POR,UTA,1.1
2024-12-06,GSW,MIN,3.0
2024-12-06,SAS,SAC,1.9
2024-12-07,MIA,PHO,1.4
2024-12-07,NOP,OKC,-7.3
2024-12-07,BOS,MEM,6.6
2024-12-07,WAS,DEN,-6.1
2024-12-07,NYK,DET,9.1
2024-12-07,TOR,DAL,-4.9
2024-12-07,CHO,CLE,-5.6
2024-12-08,LAL,POR,5.9
2024-12-08,CHI,PHI,1.3
2024-12-08,SAS,NOP,4.5
2024-12-08,MIA,CLE,0.0
2024-12-08,BRK,MIL,-1.9
2024-12-08,IND,CHO,6.6
2024-12-08,LAC,HOU,1.0
2024-12-08,SAC,UTA,8.1
2024-12-08,ORL,PHO,6.2
2024-12-08,ATL,DEN,-0.6
2024-12-08,GSW,MIN,3.4
2024-12-08,WAS,MEM,-4.8
2024-12-09,TOR,NYK,-3.8
