team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
BOS,0.678,0.225,0.067,0.022,0.004,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CLE,0.238,0.411,0.189,0.09,0.032,0.026,0.007,0.006,0.001,0.0,0.0,0.0,0.0,0.0,0.0
NYK,0.043,0.157,0.271,0.211,0.152,0.077,0.04,0.028,0.014,0.004,0.001,0.002,0.0,0.0,0.0
ORL,0.035,0.121,0.24,0.232,0.163,0.097,0.059,0.028,0.017,0.007,0.0,0.001,0.0,0.0,0.0
MIL,0.003,0.04,0.098,0.166,0.199,0.161,0.122,0.1,0.057,0.021,0.018,0.01,0.002,0.002,0.001
IND,0.002,0.026,0.066,0.13,0.179,0.189,0.152,0.106,0.06,0.037,0.025,0.018,0.007,0.001,0.002
MIA,0.001,0.014,0.046,0.098,0.133,0.164,0.164,0.127,0.095,0.066,0.047,0.027,0.011,0.007,0.0
ATL,0.0,0.003,0.003,0.009,0.021,0.047,0.067,0.093,0.129,0.127,0.127,0.132,0.12,0.08,0.042
BRK,0.0,0.002,0.002,0.01,0.031,0.04,0.057,0.072,0.1,0.132,0.138,0.14,0.134,0.106,0.036
PHI,0.0,0.001,0.001,0.008,0.024,0.059,0.091,0.115,0.158,0.174,0.134,0.105,0.078,0.042,0.01
CHI,0.0,0.0,0.011,0.013,0.037,0.08,0.126,0.115,0.148,0.114,0.103,0.096,0.082,0.057,0.018
DET,0.0,0.0,0.003,0.005,0.015,0.029,0.07,0.098,0.103,0.123,0.151,0.126,0.125,0.111,0.041
TOR,0.0,0.0,0.002,0.0,0.004,0.007,0.013,0.033,0.048,0.072,0.098,0.13,0.182,0.253,0.158
CHO,0.0,0.0,0.001,0.006,0.006,0.02,0.031,0.076,0.063,0.114,0.142,0.158,0.179,0.146,0.058
WAS,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.003,0.007,0.009,0.016,0.055,0.08,0.195,0.634
