team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
OKC,0.519,0.174,0.101,0.072,0.04,0.033,0.023,0.013,0.012,0.007,0.005,0.001,0.0,0.0,0.0
DAL,0.132,0.147,0.122,0.126,0.115,0.066,0.095,0.049,0.042,0.036,0.036,0.016,0.008,0.008,0.002
MIN,0.071,0.143,0.121,0.122,0.096,0.094,0.069,0.076,0.057,0.051,0.044,0.034,0.017,0.004,0.001
DEN,0.059,0.09,0.086,0.085,0.095,0.098,0.078,0.08,0.089,0.079,0.063,0.05,0.029,0.014,0.005
PHO,0.052,0.101,0.107,0.089,0.11,0.091,0.088,0.09,0.062,0.069,0.053,0.05,0.025,0.01,0.003
SAC,0.043,0.092,0.089,0.107,0.111,0.099,0.092,0.085,0.089,0.061,0.061,0.036,0.024,0.01,0.001
GSW,0.042,0.068,0.094,0.086,0.074,0.094,0.113,0.109,0.077,0.085,0.066,0.038,0.029,0.02,0.005
MEM,0.027,0.055,0.081,0.088,0.084,0.091,0.094,0.104,0.094,0.088,0.076,0.054,0.041,0.017,0.006
LAL,0.024,0.055,0.079,0.065,0.086,0.096,0.093,0.092,0.095,0.108,0.063,0.066,0.053,0.016,0.009
NOP,0.016,0.039,0.052,0.062,0.09,0.085,0.086,0.091,0.098,0.1,0.098,0.1,0.056,0.023,0.004
HOU,0.012,0.02,0.038,0.046,0.035,0.079,0.072,0.087,0.094,0.103,0.119,0.126,0.087,0.059,0.023
LAC,0.002,0.004,0.008,0.013,0.023,0.034,0.034,0.05,0.063,0.064,0.102,0.157,0.178,0.166,0.102
SAS,0.001,0.011,0.017,0.035,0.034,0.034,0.049,0.056,0.082,0.085,0.097,0.124,0.176,0.125,0.074
UTA,0.0,0.001,0.004,0.003,0.004,0.005,0.01,0.016,0.036,0.044,0.083,0.097,0.166,0.285,0.246
POR,0.0,0.0,0.001,0.001,0.003,0.001,0.004,0.002,0.01,0.02,0.034,0.051,0.111,0.243,0.519
