team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
BOS,0.88,0.109,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PHI,0.104,0.645,0.168,0.056,0.013,0.007,0.004,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIL,0.014,0.167,0.414,0.182,0.131,0.05,0.028,0.012,0.002,0.0,0.0,0.0,0.0,0.0,0.0
NYK,0.001,0.019,0.102,0.165,0.177,0.173,0.163,0.119,0.053,0.023,0.005,0.0,0.0,0.0,0.0
ORL,0.001,0.018,0.081,0.142,0.163,0.153,0.193,0.156,0.059,0.02,0.008,0.006,0.0,0.0,0.0
CLE,0.0,0.025,0.104,0.185,0.178,0.176,0.161,0.096,0.053,0.01,0.011,0.001,0.0,0.0,0.0
MIA,0.0,0.011,0.071,0.148,0.165,0.175,0.174,0.155,0.069,0.021,0.008,0.003,0.0,0.0,0.0
IND,0.0,0.006,0.046,0.111,0.141,0.203,0.171,0.152,0.097,0.047,0.019,0.007,0.0,0.0,0.0
ATL,0.0,0.0,0.003,0.009,0.016,0.035,0.04,0.131,0.24,0.203,0.192,0.127,0.004,0.0,0.0
BRK,0.0,0.0,0.0,0.001,0.009,0.015,0.028,0.081,0.171,0.243,0.238,0.211,0.003,0.0,0.0
TOR,0.0,0.0,0.0,0.001,0.002,0.01,0.017,0.044,0.131,0.212,0.256,0.31,0.017,0.0,0.0
CHI,0.0,0.0,0.0,0.0,0.005,0.003,0.021,0.051,0.125,0.22,0.259,0.309,0.007,0.0,0.0
CHO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.004,0.025,0.787,0.148,0.035
WAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.107,0.483,0.409
DET,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.075,0.369,0.556
