,team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
18,BOS,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,ATL,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10,ORL,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
15,MIL,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
17,CLE,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
4,NYK,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3,MIA,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
29,PHI,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
5,IND,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
7,CHI,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
6,BRK,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
23,DET,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
12,CHO,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2,TOR,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
26,WAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
