team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
BOS,0.921,0.071,0.006,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PHI,0.06,0.642,0.193,0.068,0.027,0.007,0.002,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIL,0.015,0.178,0.369,0.232,0.119,0.051,0.025,0.01,0.001,0.0,0.0,0.0,0.0,0.0,0.0
NYK,0.003,0.041,0.153,0.207,0.24,0.152,0.118,0.069,0.014,0.003,0.0,0.0,0.0,0.0,0.0
CLE,0.001,0.06,0.185,0.244,0.182,0.17,0.1,0.049,0.009,0.0,0.0,0.0,0.0,0.0,0.0
MIA,0.0,0.004,0.022,0.079,0.141,0.191,0.242,0.226,0.063,0.025,0.006,0.001,0.0,0.0,0.0
ORL,0.0,0.003,0.035,0.096,0.15,0.195,0.234,0.212,0.058,0.015,0.002,0.0,0.0,0.0,0.0
IND,0.0,0.001,0.037,0.07,0.134,0.215,0.22,0.226,0.075,0.017,0.005,0.0,0.0,0.0,0.0
CHI,0.0,0.0,0.0,0.001,0.005,0.008,0.025,0.094,0.293,0.26,0.219,0.095,0.0,0.0,0.0
TOR,0.0,0.0,0.0,0.001,0.0,0.002,0.002,0.013,0.082,0.159,0.256,0.484,0.001,0.0,0.0
BRK,0.0,0.0,0.0,0.0,0.001,0.005,0.01,0.039,0.153,0.238,0.287,0.267,0.0,0.0,0.0
ATL,0.0,0.0,0.0,0.0,0.001,0.004,0.022,0.061,0.252,0.283,0.225,0.152,0.0,0.0,0.0
CHO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.834,0.141,0.024
WAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.107,0.515,0.378
DET,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058,0.344,0.598
