team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
BOS,0.568,0.18,0.097,0.055,0.051,0.023,0.012,0.008,0.004,0.001,0.0,0.001,0.0,0.0,0.0
OKC,0.402,0.216,0.127,0.075,0.06,0.036,0.022,0.028,0.013,0.008,0.008,0.005,0.0,0.0,0.0
MIN,0.131,0.137,0.119,0.092,0.1,0.071,0.081,0.067,0.059,0.04,0.037,0.039,0.019,0.007,0.001
NYK,0.121,0.195,0.145,0.134,0.095,0.102,0.069,0.051,0.033,0.029,0.012,0.01,0.003,0.0,0.001
DAL,0.077,0.098,0.107,0.086,0.085,0.101,0.087,0.101,0.058,0.072,0.049,0.035,0.026,0.013,0.005
DEN,0.073,0.109,0.109,0.098,0.102,0.077,0.087,0.077,0.061,0.054,0.059,0.042,0.031,0.016,0.005
PHO,0.072,0.092,0.083,0.096,0.102,0.094,0.092,0.063,0.078,0.071,0.063,0.043,0.031,0.016,0.004
MIL,0.065,0.116,0.121,0.106,0.115,0.116,0.096,0.093,0.057,0.044,0.034,0.025,0.008,0.004,0.0
PHI,0.064,0.09,0.126,0.115,0.118,0.126,0.108,0.079,0.064,0.049,0.029,0.019,0.009,0.004,0.0
IND,0.053,0.129,0.115,0.118,0.134,0.088,0.099,0.081,0.07,0.043,0.038,0.018,0.006,0.005,0.003
SAC,0.053,0.08,0.111,0.107,0.092,0.103,0.087,0.07,0.072,0.057,0.049,0.05,0.041,0.022,0.006
CLE,0.051,0.099,0.119,0.131,0.113,0.112,0.093,0.087,0.065,0.053,0.035,0.022,0.011,0.007,0.002
ORL,0.051,0.092,0.127,0.153,0.102,0.109,0.095,0.088,0.072,0.051,0.028,0.022,0.008,0.002,0.0
MEM,0.049,0.075,0.083,0.092,0.096,0.087,0.085,0.084,0.069,0.07,0.06,0.065,0.042,0.029,0.014
GSW,0.048,0.061,0.051,0.086,0.071,0.088,0.092,0.073,0.085,0.085,0.097,0.062,0.051,0.034,0.016
NOP,0.034,0.035,0.059,0.059,0.081,0.064,0.097,0.103,0.107,0.086,0.081,0.082,0.05,0.042,0.02
LAL,0.03,0.042,0.063,0.066,0.071,0.103,0.072,0.087,0.084,0.101,0.084,0.08,0.061,0.038,0.018
HOU,0.02,0.03,0.041,0.076,0.061,0.083,0.083,0.099,0.107,0.096,0.093,0.08,0.069,0.041,0.021
MIA,0.017,0.056,0.067,0.069,0.083,0.095,0.124,0.129,0.098,0.086,0.071,0.052,0.03,0.016,0.007
LAC,0.005,0.017,0.012,0.029,0.037,0.035,0.045,0.05,0.058,0.096,0.096,0.117,0.14,0.152,0.111
ATL,0.005,0.013,0.033,0.044,0.06,0.067,0.094,0.108,0.112,0.114,0.113,0.086,0.063,0.055,0.033
CHI,0.004,0.021,0.031,0.035,0.074,0.057,0.074,0.087,0.105,0.123,0.125,0.101,0.076,0.06,0.027
SAS,0.004,0.008,0.031,0.028,0.031,0.041,0.041,0.056,0.079,0.082,0.099,0.116,0.14,0.137,0.107
WAS,0.001,0.0,0.004,0.006,0.012,0.02,0.026,0.03,0.046,0.062,0.088,0.11,0.19,0.175,0.23
UTA,0.001,0.0,0.003,0.007,0.005,0.012,0.013,0.026,0.034,0.047,0.07,0.103,0.158,0.22,0.301
POR,0.001,0.0,0.001,0.003,0.006,0.005,0.016,0.016,0.036,0.035,0.055,0.081,0.141,0.233,0.371
TOR,0.0,0.004,0.004,0.009,0.017,0.017,0.025,0.041,0.074,0.087,0.127,0.142,0.174,0.141,0.138
DET,0.0,0.002,0.004,0.012,0.009,0.032,0.041,0.043,0.075,0.091,0.118,0.122,0.128,0.19,0.133
BRK,0.0,0.002,0.002,0.002,0.01,0.015,0.011,0.031,0.049,0.068,0.072,0.133,0.152,0.18,0.273
CHO,0.0,0.001,0.005,0.011,0.007,0.021,0.033,0.044,0.076,0.099,0.11,0.137,0.142,0.161,0.153
