,team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,GSW,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,CLE,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,IND,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
21,DAL,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,DEN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
29,PHI,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
14,LAL,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
15,MIL,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
18,BOS,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
28,OKC,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
11,LAC,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
20,ATL,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
4,NYK,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
8,MEM,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3,MIA,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
24,NOP,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7,CHI,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
16,SAC,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
10,ORL,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
25,PHO,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2,TOR,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
22,MIN,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
12,CHO,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
19,POR,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
6,BRK,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
9,UTA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
13,SAS,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
23,DET,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
26,WAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
27,HOU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
