team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
BOS,0.549,0.293,0.09,0.033,0.017,0.008,0.007,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DEN,0.438,0.257,0.14,0.066,0.046,0.024,0.017,0.005,0.006,0.001,0.0,0.0,0.0,0.0,0.0
PHI,0.363,0.374,0.138,0.069,0.025,0.013,0.009,0.005,0.002,0.001,0.0,0.0,0.001,0.0,0.0
MIN,0.252,0.241,0.165,0.108,0.098,0.054,0.032,0.025,0.016,0.006,0.002,0.0,0.001,0.0,0.0
GSW,0.129,0.16,0.188,0.142,0.112,0.102,0.077,0.034,0.024,0.021,0.008,0.002,0.0,0.001,0.0
PHO,0.053,0.102,0.14,0.131,0.151,0.129,0.089,0.073,0.053,0.044,0.016,0.012,0.007,0.0,0.0
LAC,0.047,0.083,0.113,0.164,0.137,0.133,0.094,0.089,0.064,0.037,0.019,0.013,0.005,0.001,0.001
DAL,0.046,0.086,0.105,0.158,0.123,0.132,0.109,0.071,0.071,0.047,0.031,0.015,0.004,0.001,0.001
MIL,0.027,0.087,0.174,0.16,0.126,0.104,0.094,0.064,0.049,0.046,0.029,0.022,0.013,0.003,0.002
ATL,0.025,0.075,0.144,0.144,0.134,0.105,0.124,0.088,0.064,0.053,0.026,0.013,0.003,0.002,0.0
OKC,0.017,0.031,0.075,0.09,0.115,0.132,0.166,0.113,0.109,0.076,0.044,0.018,0.009,0.005,0.0
NYK,0.016,0.066,0.165,0.164,0.158,0.124,0.093,0.064,0.055,0.04,0.029,0.015,0.009,0.002,0.0
HOU,0.008,0.016,0.022,0.043,0.056,0.095,0.119,0.141,0.128,0.14,0.102,0.071,0.044,0.012,0.003
CLE,0.007,0.025,0.062,0.107,0.105,0.132,0.117,0.109,0.095,0.095,0.059,0.049,0.021,0.016,0.001
LAL,0.006,0.007,0.013,0.032,0.052,0.071,0.084,0.121,0.122,0.131,0.135,0.101,0.075,0.038,0.012
IND,0.004,0.021,0.078,0.092,0.105,0.125,0.117,0.123,0.123,0.088,0.064,0.036,0.02,0.003,0.001
ORL,0.004,0.019,0.051,0.078,0.092,0.12,0.105,0.108,0.123,0.118,0.091,0.041,0.035,0.01,0.005
TOR,0.003,0.011,0.032,0.05,0.067,0.08,0.092,0.126,0.135,0.129,0.107,0.094,0.047,0.022,0.005
NOP,0.002,0.009,0.017,0.024,0.034,0.048,0.101,0.132,0.139,0.15,0.12,0.099,0.079,0.032,0.014
SAC,0.002,0.007,0.02,0.034,0.064,0.057,0.075,0.117,0.139,0.154,0.121,0.083,0.069,0.047,0.011
MIA,0.001,0.016,0.027,0.06,0.078,0.09,0.103,0.114,0.122,0.123,0.118,0.091,0.035,0.015,0.007
BRK,0.001,0.011,0.036,0.035,0.076,0.073,0.088,0.115,0.117,0.132,0.137,0.099,0.045,0.027,0.008
MEM,0.0,0.001,0.001,0.005,0.006,0.015,0.02,0.032,0.059,0.075,0.152,0.188,0.194,0.155,0.097
CHI,0.0,0.001,0.001,0.003,0.011,0.015,0.024,0.039,0.057,0.069,0.142,0.187,0.195,0.178,0.078
WAS,0.0,0.001,0.001,0.002,0.001,0.004,0.005,0.007,0.01,0.031,0.049,0.096,0.158,0.242,0.393
POR,0.0,0.0,0.001,0.001,0.003,0.005,0.008,0.024,0.051,0.059,0.102,0.176,0.171,0.211,0.188
DET,0.0,0.0,0.001,0.001,0.002,0.003,0.014,0.026,0.03,0.038,0.092,0.136,0.223,0.24,0.194
CHO,0.0,0.0,0.0,0.002,0.003,0.004,0.008,0.009,0.018,0.037,0.057,0.121,0.195,0.24,0.306
UTA,0.0,0.0,0.0,0.002,0.002,0.003,0.006,0.013,0.011,0.031,0.08,0.134,0.197,0.246,0.275
SAS,0.0,0.0,0.0,0.0,0.001,0.0,0.003,0.01,0.008,0.028,0.068,0.088,0.145,0.251,0.398
