team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
MIN,0.424,0.23,0.127,0.087,0.054,0.035,0.017,0.014,0.008,0.003,0.001,0.0,0.0,0.0,0.0
DEN,0.305,0.259,0.14,0.101,0.071,0.052,0.029,0.015,0.016,0.009,0.003,0.0,0.0,0.0,0.0
OKC,0.084,0.109,0.143,0.151,0.124,0.1,0.087,0.074,0.065,0.043,0.014,0.006,0.0,0.0,0.0
PHO,0.078,0.136,0.173,0.123,0.107,0.095,0.085,0.071,0.067,0.04,0.023,0.002,0.0,0.0,0.0
DAL,0.024,0.05,0.087,0.107,0.102,0.114,0.114,0.118,0.095,0.097,0.062,0.024,0.005,0.001,0.0
SAC,0.024,0.038,0.056,0.09,0.074,0.101,0.131,0.122,0.115,0.116,0.093,0.036,0.003,0.001,0.0
HOU,0.021,0.06,0.065,0.102,0.116,0.114,0.117,0.117,0.098,0.099,0.072,0.017,0.002,0.0,0.0
LAC,0.019,0.033,0.074,0.07,0.098,0.113,0.107,0.114,0.124,0.126,0.09,0.029,0.003,0.0,0.0
LAL,0.016,0.056,0.061,0.086,0.126,0.104,0.094,0.105,0.12,0.116,0.088,0.028,0.0,0.0,0.0
GSW,0.005,0.019,0.044,0.051,0.065,0.086,0.118,0.122,0.111,0.146,0.152,0.066,0.012,0.002,0.001
NOP,0.0,0.01,0.029,0.031,0.063,0.076,0.094,0.114,0.13,0.147,0.209,0.085,0.01,0.002,0.0
UTA,0.0,0.0,0.001,0.001,0.0,0.01,0.007,0.012,0.046,0.051,0.149,0.516,0.144,0.049,0.014
MEM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.004,0.006,0.029,0.113,0.403,0.267,0.177
POR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.001,0.005,0.032,0.19,0.342,0.429
SAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.01,0.046,0.228,0.336,0.379
