team,wins,losses,champion,finals,conference_finals,second_round,playoffs
BOS,55.949,24.051,0.235,0.372,0.518,0.745,0.999
OKC,54.988,25.012,0.169,0.329,0.507,0.748,0.994
NYK,46.988,33.012,0.075,0.129,0.258,0.528,0.958
DAL,46.289,33.711,0.061,0.122,0.238,0.445,0.834
CLE,52.436,27.564,0.055,0.116,0.283,0.571,0.996
IND,42.672,37.328,0.047,0.084,0.195,0.424,0.843
MIN,44.514,35.486,0.043,0.093,0.171,0.362,0.725
ORL,45.45,34.55,0.04,0.096,0.22,0.47,0.932
MIL,41.196,38.804,0.031,0.085,0.18,0.373,0.771
GSW,47.274,32.726,0.031,0.071,0.159,0.376,0.853
DEN,43.445,36.555,0.03,0.074,0.156,0.341,0.658
PHO,43.732,36.268,0.029,0.06,0.131,0.298,0.651
HOU,45.154,34.846,0.027,0.06,0.155,0.338,0.759
MEM,44.166,35.834,0.025,0.067,0.162,0.321,0.704
LAL,44.034,35.966,0.023,0.051,0.118,0.304,0.682
SAC,42.036,37.964,0.019,0.046,0.124,0.274,0.571
MIA,40.99,39.01,0.019,0.045,0.116,0.292,0.735
PHI,35.55,44.45,0.014,0.033,0.084,0.17,0.392
ATL,36.445,43.555,0.008,0.016,0.058,0.141,0.419
SAS,36.063,43.937,0.006,0.009,0.027,0.068,0.186
LAC,38.269,41.731,0.005,0.012,0.037,0.091,0.277
NOP,33.187,46.813,0.005,0.006,0.012,0.023,0.07
CHI,34.965,45.035,0.001,0.012,0.038,0.11,0.338
BRK,30.817,49.183,0.001,0.006,0.017,0.049,0.141
CHO,31.146,48.854,0.001,0.002,0.008,0.033,0.14
DET,34.031,45.969,0.0,0.003,0.018,0.07,0.262
TOR,28.129,51.871,0.0,0.001,0.007,0.024,0.069
POR,30.362,49.638,0.0,0.0,0.003,0.011,0.03
UTA,26.24,53.76,0.0,0.0,0.0,0.0,0.006
WAS,23.483,56.517,0.0,0.0,0.0,0.0,0.005
