team,wins,losses,champion,finals,conference_finals,second_round,playoffs
BOS,55.709,24.291,0.338,0.46,0.635,0.83,0.999
OKC,53.451,26.549,0.212,0.407,0.589,0.791,0.975
DAL,46.482,33.518,0.053,0.114,0.224,0.469,0.809
NYK,45.433,34.567,0.048,0.102,0.239,0.457,0.856
IND,47.001,32.999,0.047,0.105,0.243,0.523,0.902
MIN,45.344,34.656,0.044,0.107,0.213,0.426,0.773
MIL,46.529,33.471,0.035,0.079,0.193,0.447,0.898
CLE,45.419,34.581,0.032,0.071,0.191,0.431,0.88
ORL,46.049,33.951,0.03,0.075,0.183,0.423,0.874
PHI,42.57,37.43,0.025,0.06,0.134,0.333,0.751
DEN,43.348,36.652,0.025,0.054,0.149,0.344,0.656
PHO,44.223,35.777,0.022,0.068,0.169,0.333,0.703
MEM,43.456,36.544,0.021,0.058,0.143,0.291,0.674
SAC,43.378,36.622,0.015,0.054,0.134,0.314,0.662
GSW,43.866,36.134,0.015,0.042,0.114,0.283,0.683
LAL,42.461,37.539,0.011,0.048,0.094,0.256,0.618
MIA,39.215,40.785,0.007,0.024,0.082,0.21,0.554
CHI,34.656,45.344,0.006,0.011,0.035,0.094,0.31
NOP,41.172,38.828,0.005,0.018,0.065,0.188,0.52
HOU,38.98,41.02,0.004,0.021,0.062,0.15,0.391
ATL,37.347,42.653,0.002,0.006,0.027,0.124,0.408
LAC,34.562,45.438,0.002,0.005,0.015,0.061,0.206
TOR,28.932,51.068,0.001,0.001,0.007,0.024,0.093
SAS,35.778,44.222,0.0,0.003,0.026,0.071,0.241
DET,30.148,49.852,0.0,0.003,0.009,0.034,0.126
CHO,32.632,47.368,0.0,0.001,0.012,0.041,0.188
WAS,28.067,51.933,0.0,0.001,0.007,0.017,0.093
BRK,27.331,52.669,0.0,0.001,0.003,0.012,0.068
POR,26.524,53.476,0.0,0.001,0.002,0.005,0.023
UTA,29.937,50.063,0.0,0.0,0.001,0.018,0.066
