team,wins,losses,champion,finals,conference_finals,second_round,playoffs
BOS,59.512,22.488,0.36,0.482,0.66,0.837,1.0
PHI,54.575,27.425,0.159,0.246,0.484,0.712,0.999
MIN,54.966,27.034,0.109,0.269,0.435,0.69,0.993
DEN,51.687,30.313,0.096,0.232,0.397,0.657,0.979
MIL,49.387,32.613,0.035,0.062,0.181,0.522,0.966
HOU,45.845,36.155,0.029,0.088,0.187,0.373,0.759
OKC,49.072,32.928,0.027,0.079,0.191,0.435,0.913
CLE,45.748,36.252,0.026,0.048,0.134,0.342,0.827
ORL,48.596,33.404,0.025,0.053,0.162,0.456,0.926
LAC,46.208,35.792,0.021,0.077,0.163,0.363,0.765
LAL,46.175,35.825,0.019,0.071,0.168,0.358,0.749
DAL,45.747,36.253,0.017,0.047,0.112,0.27,0.706
NYK,45.361,36.639,0.017,0.033,0.13,0.342,0.823
PHO,44.877,37.123,0.016,0.068,0.16,0.309,0.686
IND,44.378,37.622,0.014,0.036,0.102,0.281,0.725
SAC,44.306,37.694,0.008,0.027,0.077,0.23,0.598
GSW,41.902,40.098,0.007,0.025,0.06,0.159,0.373
NOP,42.898,39.102,0.004,0.016,0.048,0.154,0.465
BRK,42.326,39.674,0.004,0.009,0.043,0.162,0.522
MIA,44.023,37.977,0.003,0.022,0.069,0.234,0.699
ATL,38.973,43.027,0.002,0.007,0.026,0.068,0.283
TOR,37.377,44.623,0.001,0.001,0.007,0.038,0.188
CHI,33.647,48.353,0.001,0.001,0.002,0.006,0.041
UTA,32.607,49.393,0.0,0.001,0.001,0.001,0.012
MEM,28.27,53.73,0.0,0.0,0.001,0.001,0.002
CHO,26.455,55.545,0.0,0.0,0.0,0.0,0.001
POR,24.407,57.593,0.0,0.0,0.0,0.0,0.0
SAS,22.433,59.567,0.0,0.0,0.0,0.0,0.0
DET,19.784,62.216,0.0,0.0,0.0,0.0,0.0
WAS,18.458,63.542,0.0,0.0,0.0,0.0,0.0
