team,wins,losses,champion,finals,conference_finals,second_round,playoffs
DEN,50.942,29.058,0.162,0.265,0.389,0.631,0.958
BOS,50.049,29.951,0.137,0.246,0.4,0.637,0.973
PHO,49.485,30.515,0.118,0.21,0.362,0.595,0.917
MIL,47.514,32.486,0.111,0.201,0.367,0.597,0.923
CLE,45.265,34.735,0.084,0.165,0.278,0.52,0.847
PHI,46.371,33.629,0.068,0.137,0.25,0.494,0.881
LAL,44.2,35.8,0.053,0.097,0.205,0.391,0.687
GSW,45.849,34.151,0.044,0.102,0.197,0.407,0.789
NYK,42.897,37.103,0.04,0.083,0.18,0.369,0.738
LAC,44.859,35.141,0.03,0.075,0.162,0.345,0.748
MEM,40.364,39.636,0.023,0.058,0.108,0.221,0.493
DAL,43.07,36.93,0.021,0.043,0.125,0.292,0.632
MIA,40.868,39.132,0.019,0.043,0.117,0.275,0.631
MIN,42.355,37.645,0.013,0.035,0.103,0.243,0.601
SAC,41.109,38.891,0.013,0.029,0.087,0.21,0.523
NOP,43.717,36.283,0.012,0.043,0.12,0.282,0.657
ATL,40.487,39.513,0.012,0.033,0.096,0.244,0.578
OKC,43.013,36.987,0.01,0.033,0.109,0.266,0.643
IND,39.806,40.194,0.006,0.024,0.069,0.218,0.545
CHI,35.686,44.314,0.006,0.017,0.062,0.137,0.348
TOR,37.197,42.803,0.005,0.019,0.055,0.155,0.389
BRK,35.726,44.274,0.005,0.009,0.037,0.103,0.321
ORL,38.706,41.294,0.004,0.017,0.054,0.159,0.446
UTA,33.665,46.335,0.003,0.005,0.016,0.052,0.169
SAS,28.326,51.674,0.001,0.002,0.005,0.017,0.049
CHO,34.064,45.936,0.0,0.005,0.025,0.065,0.244
HOU,31.37,48.63,0.0,0.003,0.01,0.038,0.099
WAS,26.998,53.002,0.0,0.001,0.006,0.016,0.065
DET,28.787,51.213,0.0,0.0,0.004,0.011,0.071
POR,27.255,52.745,0.0,0.0,0.002,0.01,0.035
